User,Slice Type,Latency (ms),Throughput (Mbps),Jitter (ms),Packet Loss (%)
1,eMBB,48.138220932320436,86.24147157317245,7.620299234513526,0.05
2,URLLC,4.062046496311747,20.69123210242376,1.706537472050538,0.012348281200421874
3,mMTC,1.1484662367211889,8.5457915011303,6.285425347886729,0.05
4,eMBB,33.427421712698596,54.517853154384795,10.355946364635884,0.05
5,URLLC,6.957254898065543,32.13569545332159,2.650747140091512,0.05
6,mMTC,29.503892914204776,8.84369234659016,20.053080147713764,0.05
7,eMBB,26.336393602701754,74.47675815003856,19.43729400006903,0.05
8,URLLC,28.02447884030719,13.635755790293587,5.24320385833171,0.05
9,mMTC,26.89442144441522,6.2426340745182705,19.621391269704006,0.05
10,eMBB,26.4942912549931,63.40797146172885,15.561260474450355,0.029154650126184414
