User,Slice Type,Latency (ms),Throughput (Mbps),Jitter (ms),Packet Loss (%)
1,eMBB,40.65203873790265,72.93971243230729,10.719669317962634,0.0016357060625899478
2,URLLC,20.4128819649524,33.9177930182598,5.7383458770063624,0.048051636600669634
3,mMTC,3.8638122948731772,6.318098703058163,11.723082337105126,0.6176981081578214
4,eMBB,36.16165864053336,67.18408178781243,5.075695976296105,0.03591607006202139
5,URLLC,7.34254990647701,29.613182339323124,1.6564369198170612,0.002962000611248472
6,mMTC,22.437189958106647,2.413550961730653,22.11976140152804,0.6334148207046603
7,eMBB,51.10520646374016,55.15028992736046,18.931190731065556,0.08270544487111058
8,URLLC,23.133985588744505,28.975070997216996,5.149997504184922,0.03638063183996241
9,mMTC,21.85016602308117,1.4520914579568465,20.788829332113963,0.610936884698156
10,eMBB,60.93956391592288,81.66955737884987,14.633347231829898,0.06750437855033196
